1, 3, 2, 4, 3, 3, 1, 3, 0, 4, 3, 0, 4, 2, 1, 4, 3, 1, 1, 0, 2, 4, 0, 0, 0, 3, 1, 
0,0,0&0,1,1: k=20000.000000, b=0.000000, c=0.000000
1,1,1&1,2,2: k=2000.000000, b=0.020000, c=3.141593
1,2,1&1,3,1: k=2000.000000, b=0.020000, c=3.141593
1,1,2&2,1,1: k=2000.000000, b=0.020000, c=3.141593
0,1,2&1,1,3: k=2000.000000, b=0.020000, c=3.141593
1,2,0&2,2,0: k=0.000000, b=0.000000, c=0.000000
2,1,2&3,1,3: k=2000.000000, b=0.009789, c=0.010134
0,2,0&1,1,0: k=0.000000, b=0.000000, c=0.000000
2,3,0&3,3,0: k=2000.000000, b=0.000000, c=0.000000
3,0,1&3,1,0: k=20000.000000, b=0.000000, c=0.000000
1,1,0&1,1,1: k=20000.000000, b=0.010118, c=0.009994
3,0,0&3,0,1: k=20000.000000, b=0.000000, c=0.000000
0,1,1&1,1,0: k=20000.000000, b=0.000000, c=0.000000
1,0,0&1,0,1: k=20000.000000, b=0.000000, c=0.000000
1,1,0&1,2,1: k=0.000000, b=0.000000, c=0.000000
0,0,0&0,1,0: k=20000.000000, b=0.000000, c=0.000000
0,2,2&1,1,2: k=2000.000000, b=0.020000, c=3.141593
2,0,0&3,1,1: k=20000.000000, b=0.000000, c=0.000000
0,1,2&0,2,2: k=2000.000000, b=0.020000, c=3.141593
0,1,1&1,0,1: k=20000.000000, b=0.000000, c=0.000000
1,2,3&1,3,2: k=2000.000000, b=0.000000, c=0.000000
0,2,2&1,3,3: k=2000.000000, b=0.009905, c=0.009924
1,1,1&2,2,1: k=0.000000, b=0.000000, c=0.000000
0,1,0&1,0,1: k=20000.000000, b=0.000000, c=0.000000
0,2,0&0,3,1: k=20000.000000, b=0.000000, c=0.000000
0,0,0&1,1,0: k=20000.000000, b=0.000000, c=0.000000
0,1,0&1,1,0: k=20000.000000, b=0.000000, c=0.000000
0,2,1&1,3,0: k=20000.000000, b=0.000000, c=0.000000
0,0,1&0,1,2: k=2000.000000, b=0.020000, c=3.141593
2,2,0&3,2,0: k=2000.000000, b=0.000000, c=0.000000
0,3,1&1,3,0: k=20000.000000, b=0.000000, c=0.000000
2,1,1&2,2,1: k=2000.000000, b=0.000000, c=0.000000
2,0,2&3,0,3: k=2000.000000, b=0.020000, c=0.000000
2,1,2&3,2,1: k=2000.000000, b=0.000000, c=0.000000
0,1,3&0,2,3: k=2000.000000, b=0.020000, c=3.141593
1,1,1&2,1,2: k=2000.000000, b=0.020000, c=3.141593
0,3,0&1,3,0: k=20000.000000, b=0.009908, c=0.009864
2,2,2&3,3,1: k=2000.000000, b=0.020000, c=3.141593
0,0,0&0,0,1: k=20000.000000, b=0.000000, c=0.000000
0,0,1&1,1,1: k=20000.000000, b=0.000000, c=0.000000
0,1,1&1,0,0: k=20000.000000, b=0.000000, c=0.000000
0,0,1&1,0,1: k=20000.000000, b=0.000000, c=0.000000
0,2,2&0,3,2: k=2000.000000, b=0.020000, c=3.141593
3,2,0&3,3,0: k=2000.000000, b=0.000000, c=0.000000
0,3,1&1,2,1: k=2000.000000, b=0.020000, c=3.141593
0,0,3&1,0,3: k=2000.000000, b=0.020000, c=0.000000
0,3,3&1,2,3: k=2000.000000, b=0.000000, c=0.000000
1,3,0&1,3,1: k=20000.000000, b=0.000000, c=0.000000
1,1,0&2,0,1: k=0.000000, b=0.000000, c=0.000000
0,0,1&1,0,2: k=2000.000000, b=0.020000, c=3.141593
1,0,1&2,1,2: k=2000.000000, b=0.020000, c=3.141593
1,0,3&2,0,2: k=2000.000000, b=0.000000, c=0.000000
3,0,2&3,1,2: k=2000.000000, b=0.020000, c=0.000000
0,0,2&0,1,1: k=2000.000000, b=0.020000, c=3.141593
1,2,2&2,3,1: k=2000.000000, b=0.020000, c=3.141593
0,0,0&1,0,1: k=20000.000000, b=0.000000, c=0.000000
0,2,0&0,2,1: k=0.000000, b=0.009811, c=0.010037
1,2,0&2,3,0: k=0.000000, b=0.000000, c=0.000000
1,3,2&2,2,1: k=2000.000000, b=0.020000, c=3.141593
1,1,1&1,1,2: k=2000.000000, b=0.020000, c=3.141593
