5,0,1&5,1,1: k=2000.000000, b=0.250000, c=3.141593
4,0,1&5,0,1: k=2000.000000, b=0.267744, c=3.138127
4,0,1&5,1,1: k=2000.000000, b=0.250184, c=3.081299
5,1,0&5,1,1: k=2000.000000, b=0.250000, c=3.141593
4,0,1&5,1,0: k=2000.000000, b=0.250000, c=3.141593
5,0,0&5,1,1: k=2000.000000, b=0.250000, c=3.141593
5,0,0&5,1,0: k=2000.000000, b=0.250000, c=3.141593
4,1,0&5,0,1: k=2000.000000, b=0.250000, c=3.141593
4,1,0&5,1,1: k=2000.000000, b=0.250000, c=3.141593
4,1,0&5,0,0: k=2000.000000, b=0.250000, c=3.141593
4,1,0&5,1,0: k=2000.000000, b=0.250000, c=3.141593
3,0,1&4,0,1: k=1000.000000, b=0.000000, c=0.000000
4,0,0&5,0,0: k=2000.000000, b=0.270891, c=3.308114
4,0,0&5,1,0: k=2000.000000, b=0.250000, c=3.141593
4,0,1&4,1,1: k=1000.000000, b=0.010091, c=0.010040
3,1,1&4,1,1: k=1000.000000, b=0.000000, c=0.000000
4,0,0&4,0,1: k=1000.000000, b=0.000000, c=0.000000
3,0,1&3,1,0: k=2000.000000, b=0.250000, c=3.141593
2,1,0&3,1,0: k=2000.000000, b=0.250000, c=3.141593
4,0,0&4,1,1: k=1000.000000, b=0.000000, c=0.000000
3,1,1&4,0,0: k=1000.000000, b=0.000000, c=0.000000
3,0,1&4,0,0: k=1000.000000, b=0.000000, c=0.000000
2,1,1&3,0,1: k=2000.000000, b=0.250000, c=3.141593
0,0,1&0,1,1: k=20000.000000, b=0.000000, c=0.000000
4,0,1&4,1,0: k=1000.000000, b=0.000000, c=0.000000
3,1,1&4,1,0: k=1000.000000, b=0.000000, c=0.000000
3,0,1&4,1,0: k=1000.000000, b=0.000000, c=0.000000
4,1,0&4,1,1: k=1000.000000, b=0.000000, c=0.000000
2,0,1&2,1,0: k=2000.000000, b=0.250000, c=3.141593
3,1,0&4,1,1: k=1000.000000, b=0.000000, c=0.000000
3,1,0&4,1,0: k=1000.000000, b=0.000000, c=0.000000
3,0,0&4,1,1: k=1000.000000, b=0.000000, c=0.000000
3,0,1&3,1,1: k=2000.000000, b=0.250000, c=3.141593
3,0,0&3,0,1: k=2000.000000, b=0.250000, c=3.141593
2,0,1&3,0,0: k=2000.000000, b=0.250000, c=3.141593
1,0,1&1,1,0: k=20000.000000, b=0.000000, c=0.000000
0,0,1&1,0,0: k=20000.000000, b=0.000000, c=0.000000
3,1,0&3,1,1: k=2000.000000, b=0.250000, c=3.141593
5,0,1&5,1,0: k=2000.000000, b=0.250000, c=3.141593
2,0,1&3,1,0: k=2000.000000, b=0.250000, c=3.141593
4,0,1&5,0,0: k=2000.000000, b=0.250000, c=3.141593
3,0,0&3,1,0: k=2000.000000, b=0.250000, c=3.141593
0,1,0&1,1,0: k=20000.000000, b=0.000000, c=0.000000
2,1,0&3,0,1: k=2000.000000, b=0.250000, c=3.141593
0,0,0&0,0,1: k=20000.000000, b=0.000000, c=0.000000
1,0,0&2,0,0: k=2000.000000, b=0.250000, c=3.141593
2,1,0&3,1,1: k=2000.000000, b=0.250000, c=3.141593
2,1,1&3,1,0: k=2000.000000, b=0.250000, c=3.141593
2,0,0&3,0,1: k=2000.000000, b=0.250000, c=3.141593
2,0,0&3,1,1: k=2000.000000, b=0.250000, c=3.141593
5,0,0&5,0,1: k=2000.000000, b=0.250000, c=3.141593
2,0,0&3,0,0: k=2000.000000, b=0.250000, c=3.141593
2,0,1&2,1,1: k=2000.000000, b=0.250000, c=3.141593
4,1,1&5,1,0: k=2000.000000, b=0.250000, c=3.141593
1,1,1&2,0,1: k=2000.000000, b=0.250000, c=3.141593
1,1,1&2,1,1: k=2000.000000, b=0.250000, c=3.141593
1,1,0&2,0,0: k=2000.000000, b=0.250000, c=3.141593
